plazoOperacion,montoCuotaOperacion,ingresosCliente,montoOperacion,gastosCliente,valorVehiculo,numeroCuotasInicioOperacion,edadCliente,codigoProvinciaCliente_10,codigoProvinciaCliente_9,codigoProvinciaCliente_otro,marcaVehiculo_Chery,marcaVehiculo_Chevrolet,marcaVehiculo_DFSK,marcaVehiculo_Hyundai,marcaVehiculo_otro,tipoResidenciaCliente_A,tipoResidenciaCliente_F,tipoResidenciaCliente_otro,claseVehiculo_Camion,codigoNivelEstudiosCliente_P,Es_Bueno
1095,742.05,4894.0,16336.8,1043.52,22800.0,36,47,0,0,1,0,0,0,0,1,1,0,0,0,0,NO
1857,341.565,2050.0,11374.4,550.0,14490.0,60,30,0,0,1,0,1,0,0,0,0,1,0,0,0,NO
1096,641.7,1200.0,12242.74,475.79944868128257,16800.0,36,31,0,0,1,0,0,0,0,1,0,1,0,0,0,NO
1854,362.825,1212.0,11997.12,261.32,15190.0,60,56,0,0,1,0,1,0,0,0,1,0,0,0,0,NO
1488,357.22,800.0,9238.97,475.79944868128257,14990.0,48,47,0,0,1,1,0,0,0,0,1,0,0,0,0,NO
1405,325.46,1240.0,10525.8,317.68,14790.0,59,34,0,0,1,0,0,0,0,1,0,0,1,0,0,SI
668,496.04,4800.0,10415.6,1400.0,27990.0,36,59,0,0,1,0,0,0,0,1,0,0,1,0,1,SI
295,532.91,2100.0,20750.92,831.868553503788,31175.34,9,47,1,0,0,0,0,0,1,0,0,1,0,0,0,SI
1567,1463.19,11955.10047169811,39986.87,19.5,65990.0,51,31,0,0,1,0,0,0,1,0,1,0,0,0,0,NO
1852,653.0,2550.0,21415.6,652.0,27990.0,60,44,0,0,1,0,0,0,0,1,0,0,1,0,1,NO
1489,524.685,2400.0,13911.11,920.0,20671.34,48,58,1,0,0,0,0,0,0,1,0,1,0,0,0,NO
703,329.76,900.0,10533.2,475.79944868128257,20107.6,23,42,0,0,1,0,0,0,1,0,0,1,0,0,0,SI
1830,224.29,4000.0,28115.6,1500.0,36990.0,60,37,0,0,1,0,0,0,0,1,0,0,1,0,0,NO
743,886.815,3000.0,14933.31,1000.0,29507.71,24,69,0,0,1,0,0,0,0,1,0,1,0,0,0,SI
497,779.62,5000.0,18726.8,831.868553503788,24490.0,48,37,0,0,1,0,0,0,0,1,1,0,0,0,1,SI
1139,945.66,4000.0,22916.6,1000.0,29316.6,36,68,0,0,1,0,0,0,1,0,0,1,0,0,0,SI
634,730.5,4000.0,22712.6,1188.0982828282824,34289.0,59,32,0,0,1,0,1,0,0,0,0,1,0,0,0,SI
1844,328.94,2512.423058468384,10830.28,136.32,14908.88,60,47,0,1,0,0,0,0,0,1,1,0,0,0,0,NO
355,461.325,2000.0,13348.4,664.53,17990.0,60,62,0,0,1,0,0,0,0,1,1,0,0,0,1,SI
730,723.04,4700.0,11651.8,200.0,21526.4,24,42,0,0,1,0,0,0,0,1,0,0,1,0,0,SI
881,2504.055,15000.0,23588.6,3667.0,33090.0,13,48,1,0,0,0,0,0,0,1,0,0,1,0,0,SI
1486,920.04,500.0,25342.57,300.0,36004.23,48,42,0,0,1,0,0,0,0,1,0,0,1,0,1,NO
1140,345.22,1490.0,8348.4,120.0,10990.0,36,59,0,0,1,0,0,0,1,0,1,0,0,0,0,SI
1459,1540.67,4075.22,28415.6,1188.0982828282824,39990.0,48,59,0,0,1,0,0,0,0,1,1,0,0,0,0,NO
737,515.845,2512.423058468384,7415.6,37.22,21990.0,24,28,0,0,1,0,0,0,0,1,0,0,1,0,0,SI
1847,763.18,3950.0,24712.57,150.0,34744.4,60,48,0,0,1,0,0,0,0,1,0,0,1,0,0,NO
1846,574.55,3502.073231534092,18185.7,152.25,23760.1,60,58,0,1,0,0,0,0,0,1,0,0,1,0,0,NO
1121,948.845,11000.0,22915.6,9100.0,29990.0,36,55,1,0,0,0,0,0,1,0,0,0,1,0,0,SI
1522,437.315,3400.0,11037.27,782.73,15038.0,48,32,0,0,1,0,1,0,0,0,0,1,0,0,0,NO
1492,409.36,3000.0,9591.66,1200.0,16399.0,48,40,0,1,0,0,0,1,0,0,0,1,0,0,0,NO
462,276.685,800.0,8770.0,475.79944868128257,13790.0,60,55,0,0,1,0,0,0,1,0,1,0,0,0,0,SI
1836,464.735,4500.0,14848.4,1250.0,19490.0,60,50,0,0,1,0,0,0,0,1,0,0,1,0,0,SI
278,534.01,1800.0,15707.4,250.0,19990.0,59,41,0,0,1,0,0,0,0,1,1,0,0,0,0,SI
1853,993.475,4250.0,31015.6,1188.0982828282824,41590.0,60,47,0,0,1,0,0,0,0,1,0,0,1,0,0,NO
1492,415.15,1540.0,10777.16,250.0,15190.0,48,42,0,0,1,0,1,0,0,0,0,0,1,0,0,NO
731,496.63,1540.0,8146.6,475.79944868128257,14691.0,25,41,0,0,1,0,1,0,0,0,1,0,0,0,0,SI
1836,368.0,3200.0,11598.4,100.0,14990.0,60,50,0,0,1,0,0,0,0,1,0,0,1,0,0,NO
1404,169.3,2600.0,7348.4,600.0,14990.0,46,56,0,0,1,0,0,0,1,0,0,0,1,0,0,SI
749,1122.035,2060.0,35448.66,538.27,49516.78,59,39,0,0,1,0,0,0,0,1,0,0,1,0,1,SI
1867,86.83,500.0,12757.39,430.0,16598.99,60,48,0,1,0,0,1,0,0,0,1,0,0,0,0,NO
1826,563.855,600.0,16530.02,2789.51,22990.0,60,51,0,1,0,0,0,1,0,0,0,1,0,1,0,NO
1275,836.065,1200.0,24025.99,450.0,32989.99,48,67,0,0,1,0,0,0,1,0,0,0,1,0,0,SI
207,1368.93,5038.570953984289,24071.37,6.57,33115.44,24,63,0,0,1,0,0,0,1,0,1,0,0,0,0,SI
1836,805.53,700.0,25328.27,205.78,35990.0,60,54,0,0,1,0,0,0,0,1,0,0,1,0,0,NO
364,468.14,1760.0,15348.4,120.0,19990.0,59,48,0,0,1,0,0,0,0,1,1,0,0,0,1,SI
1113,550.31,1800.0,12095.6,890.0,24670.0,36,57,0,0,1,0,0,0,0,1,1,0,0,0,0,SI
1473,1004.235,5038.570953984289,27913.08,1878.86,37142.2,48,43,0,0,1,0,0,0,0,1,1,0,0,0,1,NO
1510,627.39,7500.0,21046.2,831.868553503788,29999.0,60,68,0,0,1,0,0,0,0,1,0,0,1,0,0,SI
607,628.41,1500.0,10119.58,7.18,18490.0,24,46,0,0,1,0,1,0,0,0,0,0,1,0,0,SI
1033,336.92,1200.0,8751.4,475.79944868128257,11990.0,48,70,0,0,1,0,0,0,0,1,1,0,0,0,1,SI
1854,175.88,5000.0,18379.6,220.0,23954.0,60,37,0,0,1,0,0,0,0,1,1,0,0,0,0,NO
